timestamp,flavor,count
2026-01-20 15:50:21,whole,0
2026-01-20 15:50:21,1pct,0
2026-01-20 15:50:21,2pct,0
2026-01-20 15:50:26,whole,0
2026-01-20 15:50:26,1pct,0
2026-01-20 15:50:26,2pct,0
2026-01-20 15:50:31,whole,1
2026-01-20 15:50:31,1pct,1
2026-01-20 15:50:31,2pct,2
2026-01-20 15:50:36,whole,2
2026-01-20 15:50:36,1pct,1
2026-01-20 15:50:36,2pct,1
2026-01-20 15:50:41,whole,1
2026-01-20 15:50:41,1pct,2
2026-01-20 15:50:41,2pct,1
2026-01-20 15:50:46,whole,1
2026-01-20 15:50:46,1pct,2
2026-01-20 15:50:46,2pct,1
2026-01-20 15:50:51,whole,1
2026-01-20 15:50:51,1pct,0
2026-01-20 15:50:51,2pct,1
2026-01-20 15:50:56,whole,1
2026-01-20 15:50:56,1pct,1
2026-01-20 15:50:56,2pct,1
2026-01-20 15:51:01,whole,1
2026-01-20 15:51:01,1pct,0
2026-01-20 15:51:01,2pct,1
2026-01-20 15:51:06,whole,1
2026-01-20 15:51:06,1pct,1
2026-01-20 15:51:06,2pct,1
2026-01-20 15:51:11,whole,1
2026-01-20 15:51:11,1pct,0
2026-01-20 15:51:11,2pct,0
2026-01-20 15:51:16,whole,2
2026-01-20 15:51:16,1pct,1
2026-01-20 15:51:16,2pct,2
2026-01-20 15:51:21,whole,1
2026-01-20 15:51:21,1pct,1
2026-01-20 15:51:21,2pct,0
2026-01-20 15:51:26,whole,0
2026-01-20 15:51:26,1pct,0
2026-01-20 15:51:26,2pct,0
2026-01-20 15:51:31,whole,0
2026-01-20 15:51:31,1pct,0
2026-01-20 15:51:31,2pct,0
2026-01-20 15:51:37,whole,0
2026-01-20 15:51:37,1pct,0
2026-01-20 15:51:37,2pct,0
2026-01-20 15:51:42,whole,0
2026-01-20 15:51:42,1pct,0
2026-01-20 15:51:42,2pct,0
2026-01-20 15:51:47,whole,0
2026-01-20 15:51:47,1pct,0
2026-01-20 15:51:47,2pct,0
2026-01-20 15:51:52,whole,0
2026-01-20 15:51:52,1pct,0
2026-01-20 15:51:52,2pct,0
2026-01-20 15:51:57,whole,0
2026-01-20 15:51:57,1pct,0
2026-01-20 15:51:57,2pct,0
2026-01-20 15:52:02,whole,0
2026-01-20 15:52:02,1pct,0
2026-01-20 15:52:02,2pct,0
2026-01-20 15:52:07,whole,0
2026-01-20 15:52:07,1pct,0
2026-01-20 15:52:07,2pct,0
2026-01-20 15:52:12,whole,0
2026-01-20 15:52:12,1pct,0
2026-01-20 15:52:12,2pct,0
2026-01-20 15:52:17,whole,0
2026-01-20 15:52:17,1pct,0
2026-01-20 15:52:17,2pct,0
2026-01-20 15:52:22,whole,0
2026-01-20 15:52:22,1pct,0
2026-01-20 15:52:22,2pct,0
2026-01-20 15:52:27,whole,0
2026-01-20 15:52:27,1pct,0
2026-01-20 15:52:27,2pct,0
2026-01-20 15:52:32,whole,0
2026-01-20 15:52:32,1pct,0
2026-01-20 15:52:32,2pct,0
2026-01-20 15:52:37,whole,0
2026-01-20 15:52:37,1pct,0
2026-01-20 15:52:37,2pct,0
2026-01-20 15:52:42,whole,0
2026-01-20 15:52:42,1pct,0
2026-01-20 15:52:42,2pct,0
2026-01-20 15:52:47,whole,0
2026-01-20 15:52:47,1pct,0
2026-01-20 15:52:47,2pct,0
2026-01-20 15:52:52,whole,0
2026-01-20 15:52:52,1pct,0
2026-01-20 15:52:52,2pct,0
2026-01-20 15:52:57,whole,0
2026-01-20 15:52:57,1pct,0
2026-01-20 15:52:57,2pct,0
2026-01-20 15:53:03,whole,0
2026-01-20 15:53:03,1pct,0
2026-01-20 15:53:03,2pct,0
2026-01-20 15:53:08,whole,0
2026-01-20 15:53:08,1pct,0
2026-01-20 15:53:08,2pct,0
2026-01-20 15:53:13,whole,0
2026-01-20 15:53:13,1pct,0
2026-01-20 15:53:13,2pct,0
2026-01-20 15:53:18,whole,0
2026-01-20 15:53:18,1pct,0
2026-01-20 15:53:18,2pct,0
2026-01-20 15:53:23,whole,0
2026-01-20 15:53:23,1pct,0
2026-01-20 15:53:23,2pct,0
2026-01-20 15:53:28,whole,0
2026-01-20 15:53:28,1pct,0
2026-01-20 15:53:28,2pct,0
2026-01-20 15:53:33,whole,0
2026-01-20 15:53:33,1pct,0
2026-01-20 15:53:33,2pct,0
